text,label
"In order to investigate the electronic structures of the Au-HfO2-Vo system, the band structure and the DOS are calculated. The supercell in which the dopant originally stays at Position 1 is taken as an example to make a comparison with the system without Vo. Here O35 is removed to create the Vo. In Fig. 2 (b), the upper intermediate energy level crosses over the Fermi level and it is closer to the bottom of the conduction band, which show that the conductivity of the Au-HfO2-Vo system are better than that of the Au-HfO2 system. In Fig. 2 (d), there are still two peaks of the total gap states. As for the gap states near ?2.5eV, they are mainly derived from O-p orbital electrons, Au-s orbital electrons, and Hf-d orbital electrons. Those gap states near the Fermi level are mainly derived from O-p orbital electrons, Au-p orbital electrons and Hf-d orbital electrons. By comparison the intensity of the PDOS for Hf and O atoms, the contribution of Hf-d orbital electrons to the total gap states increases, while the contribution of O-p orbital electrons decreases in the Au-HfO2-Vo system. Take the LDOS for O57, O63, and O35 into consideration, the intensity of gap states for O35 is the highest. Thus, once it's removed, the intensity of the gap states for all O atoms decreases dramatically.",Main
"Charge transfer of all Hf and O atoms in the Au-HfO2 and Au-HfO2-Vo systems are evaluated by the Bader charge analysis. The supercell in which the dopant originally stays at Position 1 is used. Bader partitioning is a robust partitioning scheme based on the charge density [19]. In Fig. 6 (a), the average loss of charges for Hf atoms is about 2.340. In the Au-HfO2 system, Hf atoms near the Au dopant lose fewer electrons than those far away. For instance, Hf18 loses 0.04 electrons below the average, while Hf29 loses 0.09 electrons. In the Au-HfO2-Vo system, except for Hf26, the amount of charges lost by nearby Hf atoms is even less. Hf18 loses 0.14 electrons below the average, and Hf29 loses 0.17 electrons. The change in charge transfer of Hf3 is also dramatic. In the Au-HfO2 system, its charge transfer stays at the average. In the Au-HfO2-Vo system, it loses 0.07 electrons below the average. In Fig. 6 (b), the average values obtained by the threefold O atoms and fourfold O atoms are about 1.15 and 1.20. In the Au-HfO2 system, O atoms near the Au dopant get fewer charges than those far away. The threefold O35 which is the nearest O atom to the Au dopant obtains about 0.08 electrons below the average. While in the Au-HfO2-Vo system, the amount of electrons obtained by O35 atoms gets back to average.",Main
"In a word, the amount of electrons lost by Hf atoms in the Au-HfO2-Vo system is less due to the existence of the Au dopant, which is in agreement with the XPS result of Tan et al. They observed a shift to the lower binding energy of Hf 4f peaks for the Au-doped HfO2 film [14]. As a consequence, O atoms near the dopant in the Au-HfO2 system tend to obtain fewer electrons. After O35 is removed to create the Vo, as there is acting as one electron acceptor, Hf atoms (Hf3, Hf18, Hf29) originally bonded with this O atom lose even fewer electrons. The amount of electrons received by other nearby O atoms is increasing. Due to Hf19 and Hf26 which is a little bit far from O35, the influence of removing the O35 atom on them is small. So the loss of electrons either increases or almost stays unchanged.",Main
"Based on the first principle, the influence of the Au dopants in the defect-free m-HfO2 and especially nearby Hf and O atoms is calculated and investigated at the atom-scale. The results show that the Au dopant favors the interstitial sites but there is no preference for different interstitial sites. The DOSs and partial charge density of the Au-HfO2 and the Au-HfO2-Vo systems indicate that two intermediate energy levels are introduced into the band gap of m-HfO2, leading to the improvement of the conductivity. The O and of Hf atoms near the Au dopant play a more important role in forming the total gap states, which are composed of the O-p and Hfd orbital electrons. Therefore, whether or not there are Vos, the Au CFs can be generated. In the Au-HfO2-Vo system, the Vos nearby the Au dopant are easier to be created. The threefold Vo5 and Vo41 have the lowest formation energies among all Vos, which shows that they contribute more to the formation of the Vo CFs. Thus, the randomicity of the Vo CFs' formation can be suppressed by the Au doping. According to the charge transfer of atoms, O and Hf atoms near the Au-dopant obtain and lose fewer electrons respectively in the Au-HfO2 system. However, in the Au-HfO2-Vo systems, the amount of electrons obtained by O atoms near the Au-dopant goes back to the average value. As for the Hf atoms nearby the Au dopant, the trend is irregular. In conclusion, both the Vo CFs and the Au CFs could be involved in the process of the resistive switching, and the validity of the Au dopants' application in RRAM devices is proved.",Summary
"Fig. 1. (a) The crystal structure of m-HfO2, (b) the interstitial Position 1, (c) the interstitial Position 2, and (d) the interstitial Position 3. The dopant is put into the center of the tetrahedron marked by yellow lines. Numbers on atoms indicate the number of bonds. In the figure, blue sphere is Hf atom and red sphere is O atom. (For interpretation of the references to colour in this figure legend, the reader is referred to the web version of this article.)",Captions
"Fig. 3. Partial charge density of (a) the upper intermediate energy level, and (b) the lower intermediate energy level of Au-HfO2.",Captions
"Fig. 2. Band structure of (a) Au-HfO2, and (b) Au-HfO2-Vo. Total DOS and PDOS of each element in (c) Au-HfO2 and (d) Au-HfO2-Vo. An enlargement of the DOS around ?2.5eV and the Fermi level is shown in the insets respectively.",Captions
"Fig. 4. (a) The Au dopant (originally stays at Position 1) and nearby atoms, LDOS of some (b) Hf atoms and (c) O atoms near the Au dopant in the Au-HfO2 system.",Captions
"Fig. 5. (a) The Au dopant (originally stays at Position 3) and nearby O atoms, in which O2, O6, O10, O16, O34, O36 are fourfold O atoms, and O5, O15, O35, O41 are threefold O atoms. The numbers give the bond lengths in unit of ?. (b) The Au dopant (originally stays at Position 2) and nearby O atoms, by which the Vos are created have the lowest formation energy.",Captions
"Non-volatile memory cells are exposed to adversary attacks since any active countermeasure is useless when the device is powered off. In this context, this work proposes the association of two serial RRAM devices as a basic cell to store sensitive data, which could solve this bothersome problem. This cell has three states: ¡®1¡¯, ¡®0¡¯, and masked. When the system is powered off or the data is not used, the cell is set to the masked state, where the cell still stores a ¡®1¡¯ or a ¡®0¡¯ but a malicious adversary is not capable of extracting the stored value using reverse engineering techniques. Before reading, the cell needs to be unmasked and it is masked afterwards until the next reading request. The operation of the cell also provides robustness against side-channel attacks. The presented experimental results confirm the validity of the proposal.",Abstract
"In the IoT era, the ubiquitous use of sensitive and private data requires reliable and secure embedded systems where a reasonable amount of memory is required for security code encryption or key storage. This sensitive data is commonly stored in embedded non-volatile memories (NVMs) such as ROM, e-fuse (electronic-fuse) or anti-fuse, batterybacked SRAMs or logic EEPROM/Flash. Masked ROM memories store keys during manufacturing. Therefore, a change in the key requires modifying the mask layout. Efuse [1] and anti-fuse [2,3] are one-time programmable (OTP) memories, which can be built in a generic digital process, but the programming operation is irreversible. A battery-backed SRAM is a power-gated SRAM in data retention mode. The battery is required to avoid the volatility of SRAM memories, at the expense of an increase in cost, complexity, and power consumption. Logic EEPROM/Flash [4?6] are based on the floating gate technology and have been successfully deployed in automotive microcontroller units (MCU) and smartcard ICs.",Introduction
"However, they are still expensive and require additional masks and process steps in comparison with the standard CMOS technology. All these NVMs present the same security vulnerability, since data remain in the memory even without power, exposing it to potential attackers. Confidentiality attacks aim at extracting this stored information. In the case of NVMs, attackers aiming at stealing private data can succeed in their objective with the aid of cold-boot attacks or other removal strategies like stealing memory modules [7,8]. As an alternative, secret keys can also be extracted from security primitives, the so-called physical unclonable functions (PUFs) [9]. PUFs are physical structures that embrace manufacturing variations resulting from the IC fabrication process to generate a key. Although PUFs provide a promising alternative for a key generation [10], they still pose challenges like low reliability, need for error detection and area overhead.",Introduction
"In this context, resistive random access memories (RRAMs) have emerged as a promising alternative to replace current memories [11,12]. Moreover, the inherent variability of RRAMs, due to the stochastic nature of their switching mechanism [13], has positioned these devices as one of the most competitive candidates for the development of security primitives [14]. In fact, RRAMs have attracted the attention of the research community for the implementation of PUFs [15?23] and true random number generators (TRNGs) [24?29]. Nevertheless, RRAM-based circuits may also introduce security vulnerabilities of their own. One of the main concerns is related to its inherent non-volatility, since data written to the memory persist even when the system is powered off, arising a similar problem as present NVMs. This fact may expose RRAMs to a variety of physical attacks, compromising data confidentiality [30]. For this reason, extensive effort is currently devoted to improving the security of RRAM-based memories. These approaches propose security improvements at the physical or circuit level [31?34] and at the authentication or encryption level [35,36]. However, all these proposed approaches still do not address the fundamental problem of privacy data remaining in memory after the power is turned off.",Introduction
"The present paper proposes the association of two RRAMs in a serial configuration as a basic cell for secure NVMs, which could solve this critical problem. This cell has already been proposed for other security applications [25,37,38]. However, unlike these previous works, in this paper the cell is excited in such a way that the deterministic switch of one of the RRAMs is obtained. The configurations of the cell where both devices are in different resistance states are leveraged to store one bit of information. The operation of the cell provides also the capability of masking and unmasking the data on demand. With this countermeasure the protection against physical attacks is enhanced when the device is powered off or when the sensitive data is not used. Furthermore, side-channel attacks that conduct information stealing by monitoring the current consumption are preventable in this work. The presented experimental results are a proof of concept that validates the applicability of the proposed cell. Moreover, a potential array architecture based on the serial RRAMs memory cell is proposed and its ability to defend the physical attacks is discussed.",Introduction
"The rest of the work is organized as follows. A short review about the use of RRAM devices as memory cells and related security aspects is found in Section 2. The serial RRAM memory cell and its functionality details are presented in Section 3. Next, experimental results are summarized in Section 4. An array architecture proposal based on the serial RRAM cell is found in Section 5. The security features arising from the cell and the proposed array architecture are discussed in Section 6. Finally, the conclusions are drawn in Section 7.",Introduction
"The considered serial RRAM memory cell is a kind of differential cell in which bits can be concealed. As shown in Figure 3, it consists of two RRAMs connected in series. Four different cell states can be identified from the two possible resistance states of each RRAM, see Figure 4: (HRS, LRS) ! ¡®0¡¯, (LRS, HRS) ! ¡®1¡¯, (LRS, LRS) ! MASKED in the LRS, (HRS, HRS) ! MASKED in the HRS (NOT USED) . The behavior of the cell is as follows: with the two RRAMs initially in the LRS, during a serial RESET (SRESET), i.e., a RESET operation of the two serially connected devices, one of the RRAMs switches to the HRS first. When the SRESET is initiated, the voltage across the switching device increases, preventing the other device to switch. During a subsequent serial SET (SSET), i.e., a SET operation of the two serially connected devices, only the RRAM in the HRS switches back to the LRS, since the other one is already in the LRS. For subsequent SSET and SRESET the switching device is always the same. The basic operation of the cell is reported in Figure 5. Furthermore, considering the unused configuration in which both RRAMs are masked in the HRS, one of the RRAMs switches first to the LRS in the subsequent SSET operation, which raises the voltage across the other non-switching RRAM device, forcing it to switch to the LRS as well. In this case, both devices may end up in the LRS if the SSET voltage is not withdrawn in time, compromising the functionality of the cell. That is the main reason why this configuration (HRS, HRS) is not adopted here. Given a particular pair of devices initially in the LRS, by applying consecutive SRESET and SSET operations the bit can be unmasked and masked, respectively. Depending on which of the RRAMs switches to the HRS after a SRESET, two different states of the cell can be differentiated (the so-called ¡®0¡¯ or ¡®1¡¯). The RRAM that goes first to the HRS depends on device-to-device variability. Therefore, every cell generates an unpredictable bit, which is maintained during subsequent SRESET and SSET operations. Furthermore, it adds masking capability since both devices remain in the LRS after a SSET. This fact can be exploited to generate unpredictable bits with the potential application in PUFs [38].",Main
"This serial RRAM cell is proposed in the present work for secure NVMs. However, for this application, we must include writing capabilities to obtain a full operational memory cell. This fact requires the capability of writing data to the cell while maintaining the feature of masking/unmasking the bit. For this purpose, during the write operation, individual SET and RESET operations are applied so that the middle node Vap2 is grounded and nodes Vap1 and Vap3 are biased accordingly, as illustrated in Figure 6a,b for write-0 and write-1 operations, respectively. During masking and unmasking operations the middle node Vap2 is left floating and voltages at nodes Vap1 and Vap3 are applied accordingly.",Main
"The masking operation is performed by bringing the two RRAMs to LRS with a SSET, which forces the same current passing through both devices, see Figure 6c,d. After this operation, it is arduous to know what the previous combination of states (HRS, LRS) or (LRS, HRS) was. However, if an unmasking operation (SRESET) is applied (forcing the same current through both devices) the previous state (HRS, LRS) or (LRS, HRS) is restored, see Figure 6e,f. With the cell in an unmasked state, a read operation (SREAD) is conducted, as illustrated in Figure 6g,h. Node Vap3 is grounded and the read voltage is applied to node Vap1 while the voltage at the floating node Vap2 is measured and compared to a reference voltage to read the bit. The complete behavior of the cell is demonstrated next.",Main
"According to the different configurations of the cell reported in Figure 6, a full operation of the cell can be derived, as the sequence of operations illustrated in Figure 7. Starting from both devices in the LRS, a write operation is applied to the cell to store the secret bit (write-0 in Figure 7a and write-1 in Figure 7b). Subsequently, a masking operation is applied to conceal the bit. Then, the secret can be revealed on demand by applying an unmasking operation followed by a read operation. Once the information has been obtained, the secret is masked again. This sequence of operations (unmasking-read-masking) can be applied as many times as needed. In this way, the information is only exposed in a small fraction of time when it is used, remaining secured during the rest of the time, even when the system is powered off.",Main
"Experiments were conducted to assess the feasibility of the proposed cell. The RRAM devices used in the experiments are TiN/Ti/HfO2/W structures [20,38]. Figure 8a shows a schematic cross-section of the final device structure. A top view optical microscope image of the structures is illustrated in Figure 8b, which are square cells of 60  60 m2, 15  15 m2 and 5  5 m2. The electrical characterization of the devices was performed using two synchronized B2912A precision source/measure units (SMUs, Keysight, Santa Rosa, CA, USA). The typical resistive switching characteristics under DC conditions are shown in Figure 9a, where double-sweep voltage ramps were applied from 0 V to +1.1 V for the SET, and from 0 V to ??1.4 V for the RESET operations. The corresponding cycling behavior under the pulse mode, using the same voltage amplitudes as those in DC conditions, is presented in Figure 9b.",Main
"The pulse mode was assessed and before checking the functionality as a memory cell, an initial experiment was performed to reproduce the results in [38]. It consisted in starting from both devices in the LRS, applying a sequence of unmasking-masking operations (both followed by a read operation) without forcing a write operation in advance, as illustrated in Figure 10. Which of the devices is going to switch after the first unmasking operation is unpredictable, but for subsequent masking/unmasking operations, the switching device is expected to be the same. Depending on which of the RRAMs switches to the HRS two different states of the cell (¡®0¡¯ or ¡®1¡¯) can be differentiated, as previously presented in Figure 4a,b. Experimental results for a serial cell are shown in Figure 11a,b, which were derived from the read operations after masking and unmasking, respectively. In this example, Rbottom switches to the HRS, whereas Rtop remains at the LRS. Considering the results in Figure 11b, and according to the definitions in Figure 4, ¡®1¡¯ was stored in this example. However, Figure 11a shows that the bit (¡®1¡¯ in this particular example) is masked after a SSET since both devices remain in the LRS. The RRAM that goes first to the HRS depends on the LRS resistance and the RESET voltage of the devices in every particular cell. This persistent behavior is mainly due to the higher inter-device variability as compared to the intra-device variability, as shown in Figure 12a for the RESET voltage (VRESET) and in Figure 12b for the resistance in the LRS (RLRS). The data was derived from 25 DC cycles of 15 different devices.",Main
"The experimental set-up was subsequently upgraded in order to check the functionality of secure NVMs, including the ability to control which of the two RRAMs switches to the HRS. The corresponding results are presented in the next section. Experiments were conducted on a set of RRAM pairs to validate the operation of the cell. The amplitude of the pulses applied during the experiments is summarized in Table 1. It must be taken into account that VSSET and VSRESET are slightly higher than the values corresponding to causing the SET and RESET of a single device, but they are low enough to avoid the degradation of the devices.",Main
"The only difference is that we included an extra read operation to check the state of the cell after masking, which would not be required in normal operation mode. Hence, starting from both devices in the LRS, a write-0 operation was applied, followed by a sequence of 1000 unmasking-read-masking-read operations. The equivalent experiment was also conducted with an initial write-1 operation. The voltage measured at the common terminal of the two devices (Vap2) during the SREAD operation is shown in Figure 13a,b after an unmasking and masking operation, respectively. It is observed that the stored bit can be unmasked and masked 1000 times. After unmasking, the measured voltage is close to 0 V when ¡®0¡¯ was initially written to the cell. On the contrary, the measured voltage was close to 0.2 V (VSREAD) when ¡®1¡¯ was initially written in the cell. However, an intermediate voltage was measured after masking regardless of the initial written value. In fact, the two sets of voltage measurements are overlapped. Thus, it is unlikely to predict whether ¡®0¡¯ or ¡®1¡¯ is stored under the masked state.",Main
"The resistances of the devices derived from the results in Figure 13 are represented in Figure 14. After the unmasking operation (Figure 14a) both devices are in different resistance states, depending on which value was written to the cell in advance. However, once masked, both devices remain in the LRS. The resistance values are quite similar regardless of the value initially stored in the cell, as observed in Figure 14b. Therefore, these results demonstrate that we can deterministically determine the switching RRAM of the cell, i.e., writing the desired data to the cell (0 or 1), and we can subsequently mask and unmask the previous written data repeatedly.",Main
"Experiments were also conducted to check the behavior of the masked bit over time. In particular, the goal consisted in extending the masked state for 104 s, verifying throughout the experiment that it was stored (masked) successfully. The corresponding results showing the resistance values of the RRAMs are shown in Figure 15a,b when ¡®0¡¯ was initially written to the cell. The equivalent values are presented in Figure 16a,b when ¡®1¡¯ was initially written to the cell. The results confirm that the bit can be unmasked and masked for at least 104 s.",Main
"The resistances of the two devices are derived from the read operations after unmasking (Figure 17a) and masking (Figure 17b). The switching device is always the expected RRAM, according to the value written to the cell. Furthermore, the resistances in the LRS of the two RRAMs are very similar in the masked state regardless of the previous write operation. In fact, the two sets of points overlap, as observed in Figure 17b. This feature, which allows rewriting the cell many times, confirm the use of this cell as a memory cell. In fact, it can also be exploited for reconfiguration purposes or the removal of the information stored in the cell in those applications where the information is rarely updated. In fact, these results, together with the capability of masking and unmasking the data, confirm the suitability of this cell for application in secure NVMs.",Main
"The present work proposes the novel use of the serial configuration of two RRAMs as a memory cell with the extra capability of data masking. This serial cell presents three states: ¡®1¡¯, ¡®0¡¯ and masked. In the masked state, both RRAMs remain in the LRS, improving the data protection against physical attacks when the device is powered off. Furthermore, the symmetry of the cell¡¯s operation complicates the information stealing by monitoring the current consumption of the cells. Experimental work has been conducted on RRAMs devices where the functionality of the serial cell is confirmed. Moreover, it is demonstrated that this cell provides the permission of rewriting or updating its content, which can be useful for reconfiguration purposes. These experimental results are a proof of concept that demonstrates the applicability of this design for secure NVMs. An array configuration has also been proposed based on the serial RRAM cell, which can be leveraged to derive a secure NVM. It has been shown how this array self-shields each cell against reverse engineering techniques and provides robustness against side-channel attacks, which paves the way to the application of RRAMs for secure NVMs. However, a physical implementation of the proposed serial RRAM cell array was not achieved, as well as the security performance experiment with all the existing attacking methods, both of which are expected in our future work.",Summary
Figure 1. Array architectures for RRAM integration (a) 1T1R (b) 1S1R.,Captions
"Figure 2. (a) Silicon edition with a 6  6 m2 open is made on the passivation layer to access the metal routing layers in a 65 nm CMOS technology chip. The inset open shows a lower connection via. (b) With direct contact probes, RRAM resistances can be passively measured using reverse engineering techniques. (c) After the FIB edition, extra deposition of metallic layers export connections below to the surface in order to ease the contact with probes. Pictures are from a hacked 65 nm chip reverse-engineered in CRnE-UPC-BarcelonaTech. The chip itself does not contain RRAMs but it illustrates the power of the FIB edition.",Captions
Figure 3. Serial RRAM cell for secure memory design.,Captions
Figure 4. Data stored in the serial cell depends on the resistance state of the RRAMs: (a) ¡®0¡¯; (b) ¡®1¡¯; (c) Masked in the LRS; (d) Masked in the HRS.,Captions
Figure 5. The basic operation of the serial RRAM cell for the generation of unpredictable bits.,Captions
Figure 7. The sequence of operations and resistance state of the devices for the secure memory cell: (a) Initially writing ¡®0¡¯; (b) Initially writing ¡®1¡¯.,Captions
Figure 8. (a) Schematic device cross-section; (b) Top view optical microscope image of the fabricated devices.,Captions
Figure 9. (a) DC resistive switching behavior during successive SET and RESET operations; (b) Resistances during pulsed SET and RESET operations.,Captions
Figure 10. Diagram of operations and state transformation to reproduce the results in [38].,Captions
Figure 11. Measured resistances of a serial RRAM cell during a sequence of 250 serial operation cycles. No current compliance limit was imposed during SSET: (a) After masking (After SSET); (b) After unmasking (After SRESET).,Captions
Figure 12. Cumulative probability obtained from 15 different single devices (color lines identify each device) corresponding to 25 DC cycles: (a) RESET voltage (VRESET); (b) Resistance in the LRS (RLRS).,Captions
Table 1. Amplitudes of the voltage pulses used in the experiments.,Captions
Figure 13. Measured voltage values at the common terminal of the two devices (Vap2) during SREAD: (a) after unmasking; (b) after masking. The operations were repeated 1000 times after initially applying a write-1 and a write-0 operation.,Captions
"A novel reconfigurable architecture, rFPGA, is developed by utilising high-density resistive memory (RRAM) circuits as FPGA components. Different from the existing CMOS-nano hybrid FPGAs that use crossbars, the rFPGA mainly consists of 1T1R RRAM structures (one CMOS transistor is integrated with a two-terminal resistive nanojunction) that can be fabricated using an efficient CMOS-compatible process. These 1T1R structures can significantly improve the FPGA memory and routing circuits, and enable the rFPGA to achieve at least a 2 density enhancement along with a 10% reduction of delay and power, compared with the corresponding CMOS FPGA.",Abstract
