,0,labels,Name
10,"All polymers successfully exhibit p-type unipolar resistive memory behaviors with low switching-ON voltages, high ON/ OFF current ratios, and high reliability. PEM-BzOMe and PEM-BzOMe2 show only volatile memory characteristics whereas PEM-BzO2C and PEM-BzOMe3 exhibit either nonvolatile or volatile memory behaviors depending on the film thickness. In particular, these polymers showed memory behaviors over the exceptionally wide thickness window of <210 nm. The memory behaviors manifest through the combination of Schottky emission and trap-limited SCLC conductions in the OFF-state and hopping conduction in the ON-state using the locally distributed electroactive moieties (i.e., oxyphenyl derivatives) as charge trap sites and stepping stones.",22,9_cuo_pvppmf_tibuffer layer_tibuffer
11,"Overall, this study reports the first demonstration of the incorporation of electroactive oxyphenyl derivatives into polymers as a highly effective developmental strategy for designing high performance resistive memory materials. The modes (i.e., volatile and nonvolatile) and working thickness window of resistive memory is shown to be highly controllable by tailoring the number of oxyphenyl units and/or oxy atomic components in the phenyl unit. PEM-BzO2C and PEMBzOMe3 are the best candidates from this study for the lowcost mass production of p-type unipolar nonvolatile and volatile high performing memory devices.",22,10_peald_nitrogen_oxygenion_vacancy concentration
12,"In conclusion, the NiSi layer embedded in ALD grown HfO2 resistive switching memory structure showed superior resistive switching characteristics suitable for nonvolatile memory devices. Crystal structure, compositional profiles at different layers, and formation of silicide layer by thermal annealing have been confirmed from the XRD, AES, and HRTEM analyses. Bipolar resistive switching properties have been observed for all the devices. Forming and “set” voltages of the NiSi layer embedded devices are notably decreased after annealing at 550 C, 1 min. The effect of Ti top electrode and NiSi layer on switching mechanism has been investigated. Good resistance ratio, long retention time up to 10^4 s and acceptable endurance more than 10^3 cycles are observed for the optimized annealed device with NiSi embedded layer. Therefore, the Ti/HfO2:NiSi:HfO2/Pt sandwich structure has high potential for practical nonvolatile memory applications.",5,11_cnt_cnts_cnt layer_crs
13,"In conclusion, we clearly demonstrated that unipolar resistive switching can be assigned to the same working principle for the prototypical device architectures: A single layered memory device with a semiconducting material (device I ); A device, considered to be a prototypical nanotrap memory (device II ), and a single layered device employing the insulating PMMA as active material (device III ). For all three devices the obtained results point towards filamentary mechanisms as the dominant conductance switching process. In strong contrast to many previous works, we were able to exclude contributions of π-conjugation and charge trapping. We suggest that unipolar resistance switching is a fundamental property of electrode/ organic/electrode systems, making this finding signifi cant for researchers working on other typical organic thin film ‘sandwich’ devices like organic photovoltaic devices or organic light emitting diodes, where the formation of parasitic pathways through the device doubtless is an undesired side-effect.",69,12_perovskite_thz_perovskites_interfacestate
14,"The anode dependence of the resistive switching properties has been investigated with resistors with of symmetric and asymmetric electrodes by changing location of electrodes. From current-voltage curves and Vs for positive and negative voltage sweeps, HRS and Vs strongly depend on anode and are very similar for the same anode irrespective of the cathode. The conduction mechanism of HRS is proposed with three domains of CD, BD, and AD. The potential in AD due to the partial rupture of conducting filaments controls the conduction in HRS and governs Vs. This rupture makes the thick insulator act as a thin film, which confirms that the set voltage strongly depends on the anode.",25,13_inhibitory_brain_inhibitory neurons_spatiotemporal
15,"In summary, we fabricated Pt/TiO2 /TiN device in which TiO2 consists of nanocrystalline grains of rutile phase, and evaluated their bipolar resistive switching characteristics. Data writing for five-level resistance states was demonstrated by varying the voltages of the 5 ns voltage pulses. Surfficient resistance ratio margin for these five-level resistance states were observed. In addition, excellent endurance of over 2*106 cycle) was confirmed. These results indicate that Pt/TiO2 /TiN devices have a potential for nonvolatile multiple-valued memory devices.",24,14_bt_bipolartype_sicoh_bipolartype resistive
16,"In conclusion, our investigation of the I-V characteristics and silver chemical states of three devices, AWP ( Ag/WO3−x/Pt ), AOP ( Ag/AgOx/Pt ), and AOWP ( Ag/AgOx/WO3−x/Pt ), showed that the RS behavior was driven by the electrochemical redox reaction of the silver oxide layer. Bulk and interface RS were observed in the AOP and AOWP devices, respectively. The present results suggest that the redox reaction of metal electrode plays an important role in the RS behavior and should draw more attention for investigating the electrical properties of metal/oxide interfaces.",57,15_caii_galaxies_halo_absorption
17,"In conclusion, we have developed easy-to-grow nanoscaffold devices showing extraordinary field-dependent electroresistance at room temperature, using V."" localized at vertical heterointerfaces. The resistance variations exceed two orders of mag. nitude with very high uniformity and tunability. Using EELS, we found that oxygen deficient regions are readily confined at the vertical interface of the nanocolumns and the matrix, due to the structural incompatibility of dissimilar oxides. Regularly distributed and spatially confined V"" present in our films minimize the stray conduction channels, which are responsible for non-uniformity and non-reproducibility in single-phase oxides. The V."" engineering at the nanoscale by means of nanoscaffold structures spatially confines the conduction channels at vertical interfaces and gives better control over the device performance with high uniformity and reproducibility. Our experimental and theoretical approaches provide the fundamental basis for understanding the electroresistance in nanoscaffold devices. These capabilities for exploring and controlling ionically active with high uniformity and reproducibility. Our experimental and theoretical approaches provide the fundamental basis for understanding the electroresistance in nanoscaffold devices. These capabilities for exploring and controlling ionically active functionality should lay the basis for ionotronic technologies, e.g. ionic transport, electrochemical phenomena and magnetoelectric coupling, in vertical oxide heterointerfaces which may find wide applications in universal devices and clean energy.",7,16_amr_manganese oxide_manganese_ni conducting
18,"In conclusion, bipolar resistive switching characteristics of vertically aligned ZnO NRLs were observed. The distinct geometry of ZnO NRLs would give rise to the formation of straight and extensible conducting filaments along the direction of each single crystalline ZnO NR, leading to a stable nonvolatile behavior with a narrow dispersion in the resistance state and the switching voltage. The superior I-V characteristics of the ZnO NRL RRAM reveal the potential for next-generation nonvolatile memory applications.",21,17_pzt_4060_pzt 4060_coercive
19,"In summary, we reported the light and electric field co-control of lattice-coupled functionalities using the welldesigned SRO/PMN-PT epitaxial heterostructures. The electric-field-induced converse piezoelectric effect of the PMN-PT substrate enables the in-plane lattice contraction of the SRO film, which, in turn, moderately reduces the film resistance. The electroresistance response can be tuned by 8.2% under light illumination. In contrast, the visible-lightinduced lattice expansion leads to a remarkable increase in the film resistance. Such a photoresistance effect was found to be electrically tunable. These results reveal that the light and the electric field strongly couple with each other, which can be reasonably interpreted by strain/lattice distortion modulation of orbital hybridization between the Ru 4d orbitals and O 2p orbitals. This work opens a unique gate to explore multi-field tuning of the lattice degree of freedom and lattice-driven functionalities and design low-power consumption multifunctional optical and electronic devices based on complex oxide systems using strain engineering.",-1,18_ag cations_middle_surface organic_inside electrolyte
20,"The Ag/Ag-doped-LGB/FTO memristive device with diﬀerent Ag-doped content was prepared. It is found that Ag/Ag-2.0 wt%doped-LGB/FTO device represent excellent stability, largest resistance window and good memory characteristic. In a word, the Ag/Ag-doped-LGB/FTO memristive devices are degradable, environmental-friendly, easily-available and skin-friendly, which will play an important role in the development of degradable, smart and small devices in the future.",42,19_conducting domains_bst films_bst_iv1
21,Prepared PC and CX-based samples were found continuous. Electrical measurements showed the following results:,-1,20_ss_evaporation_mos2 transistor_low ss
22,– Addition of rGO films to PC or CX polymers leads to the enhancement (from 1010 A to 107 A) of the electrical properties of these polymer-based films.,52,21_bridged zno_laterally_qdleds_laterally bridged
23,– The shape and form of the I-V curves of PC and CX samples with rGO allowed us to observe two different resistive switching-like mechanisms: reset-like change and set-like change.,16,22_polysaccharides_aloe polysaccharides_aloe_biocompatible
24,– Polymer-based films with rGO presented clockwise and counterclockwise I-V directions resembling a memristive system. For PCþrGO and CXþrGO the clockwise switching direction at both negative and positive applied field was observed during the first sweep. During the second sweep clockwise direction appeared only at positive applied field and counterclockwise direction was obtained at negative applied voltage.,69,23_flash_ecc_tid_nand flash
25,– The conductance of CXþrGO films presented a time dependence indicating the volatility of the observed resistance states.,19,24_sd_alrich_alrich alxoy_alxoy
26,– The suggested mechanism for the observed switching effects is the migration of oxygen groups aided by both electrical field and Joule heating.,19,25_semiforming_urs mode_si layer_siox
27,"– The study of the electrical field images and I-V data of the CX polymer allowed us to say that the current method of preparation of CX-films lead to strong insulating properties of CX polymer, so that further studies are necessary concerning this issue.",52,26_trap concentration_memristive switching_asdeposited_thermal memristor
28,"Thus, based on the obtained electrical properties, it is possible to conclude that rGO can be a good filler for PC and CX polymers. Moreover, according to I-V data for polymer samples with rGO, future studies of the resistive switching effect in polymer based films will be interesting and important.",52,27_apcmo_apcmo film_lcmo films_lcmo
29,"Over the past decade, the versatile MOFs with well-defined crystal structure and rich structural tunability showed great potential and special advantages in proton conductor applications. Moreover, their crystalline nature may offer distinct opportunities to investigate the proton transport mechanism by employing the X-ray diffraction techniques, which can be served as an exciting guideline for further designing and synthesizing new type of MOF-based proton conductors. Herein, the surveyed samples have covered various effective strategies for achieving high proton conductivity in many promising MOFs. First, we chose several representative MOFs as platforms (e.g.,MIL-101, UiO-66, HKUST-1, and β-PCMOF-2), and elaborated that some universal or unique strategies can be used to improve their proton conductive performances. Then, we elaborated on the concept and importance of wide operating temperature range (especially for working under sub-zero temperature) for proton conductors, such materials displayed typical proton conductive behaviors under anhydrous atmosphere. In addition, the research progress in the exploration of proton transfer mechanism and anisotropic conduction behavior using MOF-based single crystal and thin film samples was also fully discussed. Finally, several promising MOF candidates were summarized as proton exchange membranes to assemble fuel cells.",48,28_ovac_hp_hps_forming cc
30,"Although MOF materials have made great progress in the application of proton conductors, even the conductivity values of some superior candidates (>0.1 S cm −1 , Table 1) are higher than the commercial Nafion materials (>10 −2 S cm −1 ), there are many remaining opportunities and challenges in this field. i) The water and thermal stability of such material has been greatly improved, however, their mechanical strength and processability have not received sufficient consideration. ii) Alkyl chain linear polymer functionalized organic ligands can be used to fabricate new type of poly-MOF-based proton conductor to ameliorate their mechanical properties and processability. iii) The linear polymers (e.g., polyaniline, poly(vinyl alcohol), and poly(acrylic acid)) were prepared through the in situ strategy within the MOF channel, which might not only provide a continuous pathway for proton conduction but also promote the assembly performance of the membrane electrode. iv) For some unique MOF samples, due to their structural disorder or defect, limited knowledge of the proton transfer mechanisms restricts their rational manufacturing. In situ experiments and/or advanced characterization techniques (e.g., quasi-elastic neutron scattering and solid-state NMR), and theoretical calculations would be combined to investigate the proton conduction mechanism. v) The incorporation of new types of proton carriers within the pore or the employment of external stimuli might be beneficial for improving the proton conduction performances of such materials. [123,166] On the other hand, the conductive MOFs with switchable behavior can be applied as chemical sensor to detect external stimuli, such as gas, [167,168] light irradiation, electric and magnetic field. vi) The latest study has shown that MOF with switched hydrogen bond pathway may simultaneously achieve resistive switching and rectifying effects, [169] such material can be used as resistive random-access memory (RRAM) for information storage. Meanwhile, it opens a novel direction for the potential applications of conductive MOF materials.",48,29_nio films_nio film_atmosphere surface_ti al
31,"Overall, MOFs have been widely validated as promising solid electrolytes for proton exchange membrane fuel cells. For the practical applications, the prerequisite is to expand the production of MOFs in a convenient, low-cost, and environmentally friendly manner. It is foreseeable that worldwide efforts toward these challenges on this field will surely bring a bright future to fuel cell technology.",48,30_bipolar rram_crs_1t1r_1t1r bipolar
32,"In summary, A fully CMOS compatible W:AlOx/WOx bilayer RRAM structure was designed and developed. The W:AlOx layer is formed by the inter-diffusion between Al and WOx layer under RTA treatment. By controlling the RTA conditions, the cell initial resistance could be made larger than 10 MX. This type of RRAM cells are forming free and suitable for large RRAM array. Low power operations on those cells are demonstrated as Vset < 1.5 V, Vreset < 1.3 V, and both SET and RESET currents are below 1lA. The forming free and low power operations are excellent characteristics for future nonvolatile memories with high storage capacity. Physical and electrical analysis indicates that CF formation and rupture is a possible mechanism for cell switching.",71,31_vcnr_alal2o3_alal2o3 interface_el em
33,"In conclusion, we have shown bias-driven switching with a sub- quantum 0.7 conductance plateau and a low temperature ZBA in Cu/ Ti/HfO2/TiN based RRAM devices. The low temperature shoulder- like origin of sub-quantum conductance changes to a strong plateau at higher temperatures. The device structure, materials, and ﬁlament geometry can control the occurrence of the 0.7 anomaly in RRAM. In addition, the Lorentzian ZBA peak is present only at LRS, while the peak signal is silent at HRS. This work indicates an effective design of RRAM based on electric ﬁeld driven nanoionics, which indicates that the formation of an electric ﬁeld induced ferromagnetic CuO atomic junction in the sub-quantum region is manifesting the environment to observe anomalous conductance behavior.",5,32_fibers_graphene_brominated_graphene oxide
34,"Resistive switching was observed in the planar structure of Al/GO/Al at room temperature. Without the pre-forming process, a smooth transition (‘‘soft’’ switch) of both ohmic bipolar and rectifying unipolar (bipolar) behavior was detected. The reliable forming process leads to the abrupt switching of the structure. Electrical characterization of the Al/graphene oxide interface with high spatial resolution using the induced current technique revealed a potential barrier near the interface and its spatial modulation, caused by local changes of resistance under applied voltages. The local changes of resistance in the layer near the Al/GO interface under a bias voltage as a result of sp3 to sp2 structure reconstruction are assumed to be responsible for the observed resistive switching. The mechanism of the resistive switching in the structure is supposed to be related to the electrodiffusion of oxygen and the formation of sp2 graphene clusters in the sp3 insulating graphene oxide layer formed near the electrode by a pre-forming process.",32,33_pcm_pcm logic_cmos logic_clock
35,"Pulsed laser deposited Cr-doped polycrystalline BFCO thin films were studied. The variation of Cr-dopant concentration was found to alter the structural, optical, magnetic, and resistive switching properties of BFO to different extents. The BFCO thin films showed higher optical band gap, improved magnetization behavior owing to super exchange interaction between aliovalent Cr and Fe-ions, and lower leakage current with increased Cr-doping concentration. Further, the BFCO films with higher Cr-concentrations were not found to show resistive switching ascribed to the high valance Cr4þ-ion induced annihilation of oxygen vacancies, which exhibit the crucial role of oxygen vacancies towards resistive switching phenomenon in BFO thin films.",4,34_ticuxopt_ticuxopt device_multilevel rs_tipcmo
36,"Nevertheless, there remain some challenging tasks to be resolved. The resistive switching mechanisms in relation to the different categories of materials need to be studied in order to achieve reliable high performance devices, as well as provide guidance for the development of configurable resis- tive switching devices for various applications. Additionally, it would be interesting to develop protein-based memory devices that can maintain good memory performance on soft, and curvilinear, as well as time-dynamic surfaces. These devices may—enables large-area production technologies such as inkjet printing—create opportunities for human-machine interface and other bio-integrated systems applications. Fur- thermore, active matrix systems such as one-diode-one resistor (1D1R) and one-transistor-one-resistor (1T1R) architectures are required to solve the cross-talk problem in cross-bar arrays for high density memory applications. Finally, the development of technology to integrate protein-based memory devices with other bio-compatible and bio-inspired electronic devices to achieve unprecedented functionality for future bio-integrated system applications is also highly desirable. By solving the sci- entific and technical issues described above, we believe that protein-based resistive switching memory will facilitate the new generation of bio-compatible information storage technologies and bio-integrated electronics systems.",22,35_ata2ox_ro_bond_oxygen atoms
37,"Nevertheless, there remain some challenging tasks to be resolved. The resistive switching mechanisms in relation to the different categories of materials need to be studied in order to achieve reliable high performance devices, as well as provide guidance for the development of configurable resistive switching devices for various applications. Additionally, it would be interesting to develop protein-based memory devices that can maintain good memory performance on soft, and curvilinear, as well as time-dynamic surfaces. These devices may—enables large-area production technologies such as inkjet printing—create opportunities for human-machine interface and other bio-integrated systems applications. Furthermore, active matrix systems such as one-diode-one resistor (1D1R) and one-transistor-one-resistor (1T1R) architectures are required to solve the cross-talk problem in cross-bar arrays for high density memory applications. Finally, the development of technology to integrate protein-based memory devices with other bio-compatible and bio-inspired electronic devices to achieve unprecedented functionality for future bio-integrated system applications is also highly desirable. By solving the scientific and technical issues described above, we believe that protein-based resistive switching memory will facilitate the new generation of bio-compatible information storage technologies and bio-integrated electronics systems.",22,36_wearable_human_monitoring_healthcare
38,"In summary, the resistive switching behavior of a M-CuxO-M heterostructures was investigated. The fabrication of the M-CuxO-M heterostructures was fully compatible with the standard CMOS process. Reproducible resistive switching was observed with a low switching voltage. Both the trapping (detrapping) of SCLC and the formation (deformation) of multifilaments contribute to the carrier transport (resistance) of the M-CuxO-M heterostructures. With the accurate control of the preparation parameters, good retention characteristics can be exhibited in the M-CuxO-M heterostructures.",9,37_tbd_elm_weibull_elms
39,"In this letter, we investigated the impact of TID on the supply current and on the retention capability of novel CBRAM memory products. It is shown that after exposure supply currents are essentially unaffected and also that no errors are observed in the data stored in the CBRAM memory arrays for TID levels up to 447 krad. These results demonstrate that CBRAM technology solutions exhibit a superior tolerance to TID than traditional Flash-based memory circuits. This could be related to the unique data storage mechanism in CBRAM, where information is stored as a conductive bridge in a dielectric/electrolyte material and not as charges in a floating gate like in the traditional NVMs circuits. Formation and removal of conductive filaments provide a high dynamic range that may contribute to this increased performance. In novel commercial memories like FRAM and MRAM the dynamic range is much smaller than that of CBRAM, making those technologies more sensitive to errors caused by external stresses such as a high energy radiation which impact the CMOS circuitry and how well this circuitry is able to detect/read ON or OFF states.",23,38_nucleus_ncrit_characteristic breakdown_critical nucleus
40,"A high dynamic range might not be the only requirement for improved TID performance, but rather a high dynamic range with a LRS resistance high enough to minimize any TID induced stand-by current variation. In the CBRAM circuit, the memory cells are implemented with 1 transistor - 1 PMC structures (1T-1R). While in the HRS state (i.e., OFF), the resistance value of the memory cell is very high and even if the transistor exhibits a variation of its characteristics due to TID (e.g., an increase of leakage current), current flow is limited by the cells’ resistance. This maintains a low leakage current and an unaffected stand-by current. In the case of the memory cell being in the ON state, if the resistance value used to represent the ON state is low enough, leakage current could flow through the 1T-1R cell contributing to a variation of the stand-by current. In the case of the CBRAM device tested, the LRS resistance state is high enough so that leakage currents are not increased dramatically and do not contribute to increased stand-by current.",23,39_neuronal_nonideal characteristics_nonideal_diversity
41,"The presented results illustrate reliability enhancements obtained on NVM memories based on resistance switching cells, and are promising if we consider that the interest in those novel resistive memory may lead to the development of high density microcircuits highly tolerant to TID.",6,40_ferroelectrics_ferroelastic_bfo_dws
42,"In conclusion, we measured the TER effect in an epitaxially fabricated w-MgZnO tunnel-barrier on a metal electrode. Utilizing cooling in electric ﬁelds from elevated temperatures at 61 V, a maximum TER ratio of 490 % was achieved. Based on the temperature-dependent TER ratio, change of the average barrier height, and shifting of the localized states energy, we attribute the TER origin to a reversal of the MgZnO electric polarization. From the theoretical calculations, the polarization switching was found to be consistent with the simultaneous displacement of Zn and O atoms. In particular, the tunnel barrier height increased at the interface with Pt3Co layer after the polarization reversal to P–. Therefore, utilizing MgZnO-based tunnel junctions can open new pathways in the electrical-control of tunnel junctions for integration with CMOS devices.",17,41_agnps_brs modes_cuo_urs mode
43,"In conclusion, we have observed an anomalous rectifying behavior in the purely electronic memristive device Ti/ ZnO/Pt. It likely originates from (1) an Ohmic or quasiOhmic contact at the ZnO/Pt interface and (2) a Schottky contact at the Ti/ZnO interface. The Ohmic contact is due to the reduction of ZnO occurring in the whole film instead of only at the Ti/ZnO interface. The Schottky contact may be due to moisture adsorbed in the nanoporous ZnO. The conduction in the electroformed device was found to be controlled by the carrier trapping/detrapping of the trap sites, resulting in a poor rectification and high nonlinearity. In addition, a complementary resistive switching was obtained by connecting two Ti/ZnO/Pt devices anti-serially.",45,42_solid electrolyte_pinched hysteresis_pinched_nanofilaments
44,"A resistive switching memory device in a new IrOx/Al2O3/ WOx/W structure has a large resistance ratio of >10^3 with a low current compliance of 500 μA, an excellent read endurance of 10^5 times at a large read voltage of -0.5 V, and 10 years of data retention at 85 ℃. The thicknesses of Al2O3 and WOx films are observed to be 5.6 and 15 nm, respectively, by HRTEM. The chemical bonding and oxidation states of the Al2O3 and WOx films are investigated by XPS. The high- Al2O3/WOx bilayer dielectrics in an IrOx/Al2O3/WOx/W structure pave the way for future nanoscale nonvolatile ReRAM applications.",1,43_al2o3y_al2o3y layers_mlcmom heterostructure_mlcmom
45,"In conclusion, we proposed a simple model for describing resistive switching of RRAM dielectrics assuming the same multi-phonon assisted electron tunneling mechanism for both high resistance state and low resistance state. Switching from high resistive state to low resistive state is explained by the drastic increase in the concentration of traps and corresponding increase in electron tunneling probability between neighboring traps. We suggest that primarily trap in GeO2 is an oxygen vacancy, which is the most widely acknowledged defect in dielectrics such as SiO2, Al2O3, ZrO2, HfO2, Ta2O3, TiO2. Using the proposed model, we obtained the value of trap thermal ionization energy Wt = 1.42 eV, which is in very good agreement with theoretically calculated energy level for oxygen vacancy 1.5 eV. Obtained value for electron tunnel effective mass m* = 0.2 me is twice lower compared to theoretically calculated effective mass for the free conduction band electron but is close to experimentally determined tunnel effective masses for other high-k dielectrics.",1,44_agtcnq_bi_uvozone_nio reram
